"Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","FirstFlrSF","SecFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorchSF","PoolArea","MiscVal","MoSold","YrSold","SaleCondition","SalePrice","HomeAge","RemodAge","idxhasG","idxhasMV","idxhasFB1","idxhasFB2","idxhasB","idxhasSF","idxhasPool","idxhasLF","idxhasLQF","idxhasWD","idxhasOP","idxhasEP","idxhasSP","idxisOld","idxhasRem","idxisNew"
1,60,"RL",65,9.04192173218554,"Reg","Inside","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",5.27811516943447,"Gd","TA","PConc","Gd","TA","No","GLQ",6.55961537913629,"Unf",0,150,6.75227049296416,"GasA","Ex","Y","SBrkr",6.75227049296416,6.74993131088458,0,7.44424870797624,1,0,2,1,3,1,"Gd",8,0,"None","Attchd",2003,"RFn",2,548,"TA","TA","Y",-9.21034037197618,4.11087550351623,0,0,0,-9.21034037197618,2,2008,"Normal",12.2476943207006,5,5,1,0,1,0,1,1,0,1,0,0,1,0,0,0,0,1
2,20,"RL",80,9.16951838787259,"Reg","FR2","Veenker","Feedr","1Fam","1Story",6,8,1976,1976,"Gable","MetalSd","MetalSd","None",-9.21034037197618,"TA","TA","CBlock","Gd","TA","Gd","ALQ",6.8855097722843,"Unf",0,284,7.14045312234046,"GasA","Ex","Y","SBrkr",7.14045312234046,-9.21034037197618,0,7.14045312234046,0,1,2,0,3,1,"TA",6,1,"TA","Attchd",1976,"RFn",2,460,"TA","TA","Y",5.69709382207582,-9.21034037197618,0,0,0,-9.21034037197618,5,2007,"Normal",12.109010933238,31,31,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0
3,60,"RL",68,9.32812341652146,"IR1","Inside","CollgCr","Norm","1Fam","2Story",7,5,2001,2002,"Gable","VinylSd","VinylSd","BrkFace",5.08759695251614,"Gd","TA","PConc","Gd","TA","Mn","GLQ",6.18620882966179,"Unf",0,434,6.82437377873873,"GasA","Ex","Y","SBrkr",6.82437377873873,6.76388502403587,0,7.48773381742748,1,0,2,1,3,1,"Gd",6,1,"TA","Attchd",2001,"RFn",2,608,"TA","TA","Y",-9.21034037197618,3.73767199923291,0,0,0,-9.21034037197618,9,2008,"Normal",12.3171666934832,7,6,1,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1
4,70,"RL",60,9.16429644394598,"IR1","Corner","Crawfor","Norm","1Fam","2Story",7,5,1915,1970,"Gable","Wd Sdng","Wd Shng","None",-9.21034037197618,"TA","TA","BrkTil","TA","Gd","No","ALQ",5.37527887064702,"Unf",0,540,6.62804150845466,"GasA","Gd","Y","SBrkr",6.86797451302856,6.62804150845466,0,7.44833391913859,1,0,1,0,3,1,"Gd",7,1,"Gd","Detchd",1998,"Unf",3,642,"TA","TA","Y",-9.21034037197618,3.55535091862819,272,0,0,-9.21034037197618,2,2006,"Abnorml",11.8493977023057,91,36,1,0,1,0,1,1,0,1,0,0,1,1,0,1,1,0
5,60,"RL",84,9.56521370098091,"IR1","FR2","NoRidge","Norm","1Fam","2Story",8,5,2000,2000,"Gable","VinylSd","VinylSd","BrkFace",5.8579334401977,"Gd","TA","PConc","Gd","TA","Av","GLQ",6.484635388307,"Unf",0,490,7.04316000332458,"GasA","Ex","Y","SBrkr",7.04316000332458,6.95939860710073,0,7.69530318045947,1,0,2,1,4,1,"Gd",9,1,"TA","Attchd",2000,"RFn",3,836,"TA","TA","Y",5.25749589286098,4.4308179893188,0,0,0,-9.21034037197618,12,2008,"Normal",12.4292161972444,8,8,1,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1
6,50,"RL",85,9.55499334777225,"IR1","Inside","Mitchel","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","VinylSd","VinylSd","None",-9.21034037197618,"TA","TA","Wood","Gd","TA","No","GLQ",6.59578065057332,"Unf",0,64,6.67959931147252,"GasA","Ex","Y","SBrkr",6.67959931147252,6.33859425488161,0,7.21670956013089,1,0,1,1,1,1,"TA",5,0,"None","Attchd",1993,"Unf",2,480,"TA","TA","Y",3.68888195411081,3.40120071498993,0,0,0,6.55108047790054,10,2009,"Normal",11.8705999099413,16,14,1,1,1,0,1,1,0,1,0,1,1,0,0,1,1,0
7,20,"RL",75,9.21870529822451,"Reg","Inside","Somerst","Norm","1Fam","1Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",5.22574721134747,"Gd","TA","PConc","Ex","TA","Av","GLQ",7.22183589833447,"Unf",0,317,7.43011419787378,"GasA","Ex","Y","SBrkr",7.43484793424388,-9.21034037197618,0,7.43484793424388,1,0,2,0,3,1,"Gd",7,1,"Gd","Attchd",2004,"RFn",2,636,"TA","TA","Y",5.54126393731521,4.04305302221898,0,0,0,-9.21034037197618,8,2007,"Normal",12.6346030268951,3,2,1,0,1,0,1,0,0,1,0,1,1,0,0,0,1,1
8,60,"RL",0,9.24782882601923,"IR1","Corner","NWAmes","PosN","1Fam","2Story",7,6,1973,1973,"Gable","HdBoard","HdBoard","Stone",5.48063934000857,"TA","TA","CBlock","Gd","TA","Mn","ALQ",6.75576903839868,"BLQ",32,216,7.00940902304287,"GasA","Ex","Y","SBrkr",7.00940902304287,6.89060922187656,0,7.64491939280575,1,0,2,1,3,1,"TA",7,2,"TA","Attchd",1973,"RFn",2,484,"TA","TA","Y",5.45958593967598,5.31812048404017,228,0,0,5.8579334401977,11,2009,"Normal",12.2060726460302,36,36,1,1,1,1,1,1,0,0,0,1,1,1,0,1,0,0
9,50,"RM",51,8.71931739184624,"Reg","Inside","OldTown","Artery","1Fam","1.5Fin",7,5,1931,1950,"Gable","BrkFace","Wd Shng","None",-9.21034037197618,"TA","TA","BrkTil","TA","TA","No","Unf",-9.21034037197618,"Unf",0,952,6.85856513983338,"GasA","Gd","Y","FuseF",6.929516868611,6.62273645692855,0,7.48099221923931,0,0,2,0,2,2,"TA",8,2,"TA","Detchd",1931,"Unf",2,468,"Fa","TA","Y",4.49981078144076,-9.21034037197618,205,0,0,-9.21034037197618,4,2008,"Abnorml",11.7745202034285,77,58,1,0,0,0,1,1,0,1,0,1,0,1,0,1,1,0
10,190,"RL",50,8.91193434963851,"Reg","Corner","BrkSide","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","MetalSd","MetalSd","None",-9.21034037197618,"TA","TA","BrkTil","TA","TA","No","GLQ",6.74641224608218,"Unf",0,140,6.89871463523816,"GasA","Ex","Y","SBrkr",6.98193477000689,-9.21034037197618,0,6.98193477000689,1,0,1,0,2,2,"TA",5,2,"TA","Attchd",1939,"RFn",1,205,"Gd","TA","Y",-9.21034037197618,1.3863193608074,0,0,0,-9.21034037197618,1,2008,"Normal",11.6784399042953,69,58,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
