"Id","MSSubClass","MSZoning","LotFrontage","LotArea","LotShape","LotConfig","Neighborhood","Condition1","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","FirstFlrSF","SecFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","ScreenPorchSF","PoolArea","MiscVal","MoSold","YrSold","SaleCondition","SalePrice","idxhasG","idxhasMV","idxhasFB1","idxhasFB2","idxhasB","idxhasSF","idxhasPool","idxhasLF","idxhasLQF","idxhasWD","idxhasOP","idxhasEP","idxhasSP"
1,60,"RL",4.17440265439268,9.04192183869441,"Reg","Inside","CollgCr","Norm","1Fam","2Story",7,5,2003,2003,"Gable","VinylSd","VinylSd","BrkFace",5.27811976125832,"Gd","TA","PConc","Gd","TA","No","GLQ",6.55961665392283,"Unf",0,150,6.75227154436536,"GasA","Ex","Y","SBrkr",6.75227154436536,6.74993236474807,0,7.44424923429186,1,0,2,1,3,1,"Gd",8,0,"None","Attchd",2003,"RFn",2,548,"TA","TA","Y",-6.90775527898214,4.11089025748156,0,0,0,-6.90775527898214,2,2008,"Normal",12.2476943250172,1,0,1,0,1,1,0,1,0,0,1,0,0
2,20,"RL",4.38203913459576,9.16951848162259,"Reg","FR2","Veenker","Feedr","1Fam","1Story",6,8,1976,1976,"Gable","MetalSd","MetalSd","None",-6.90775527898214,"TA","TA","CBlock","Gd","TA","Gd","ALQ",6.88551069252918,"Unf",0,284,7.14045383549387,"GasA","Ex","Y","SBrkr",7.14045383549387,-6.90775527898214,0,7.14045383549387,0,1,2,0,3,1,"TA",6,1,"TA","Attchd",1976,"RFn",2,460,"TA","TA","Y",5.69709684220447,-6.90775527898214,0,0,0,-6.90775527898214,5,2007,"Normal",12.1090109381967,1,0,1,0,1,0,0,1,0,1,0,0,0
3,60,"RL",4.21952241095033,9.32812349652145,"IR1","Inside","CollgCr","Norm","1Fam","2Story",7,5,2001,2002,"Gable","VinylSd","VinylSd","BrkFace",5.08760250805284,"Gd","TA","PConc","Gd","TA","Mn","GLQ",6.18621068151155,"Unf",0,434,6.82437475699902,"GasA","Ex","Y","SBrkr",6.82437475699902,6.76388606329618,0,7.4877343213467,1,0,2,1,3,1,"Gd",6,1,"TA","Attchd",2001,"RFn",2,608,"TA","TA","Y",-6.90775527898214,3.73769342752374,0,0,0,-6.90775527898214,9,2008,"Normal",12.31716669751,1,0,1,0,1,1,0,1,0,0,1,0,0
4,70,"RL",4.09436122874988,9.16429653818681,"IR1","Corner","Crawfor","Norm","1Fam","2Story",7,5,1915,1970,"Gable","Wd Sdng","Wd Shng","None",-6.90775527898214,"TA","TA","BrkTil","TA","Gd","No","ALQ",5.37528303730308,"Unf",0,540,6.62804269892998,"GasA","Gd","Y","SBrkr",6.86797544955248,6.62804269892998,0,7.44833444330849,1,0,1,0,3,1,"Gd",7,1,"Gd","Detchd",1998,"Unf",3,642,"TA","TA","Y",-6.90775527898214,3.55537663250983,272,0,0,-6.90775527898214,2,2006,"Abnorml",11.8493977087343,1,0,1,0,1,1,0,1,0,0,1,1,0
5,60,"RL",4.43082870353436,9.56521376409451,"IR1","FR2","NoRidge","Norm","1Fam","2Story",8,5,2000,2000,"Gable","VinylSd","VinylSd","BrkFace",5.85793601162224,"Gd","TA","PConc","Gd","TA","Av","GLQ",6.48463676235164,"Unf",0,490,7.0431607893504,"GasA","Ex","Y","SBrkr",7.0431607893504,6.95939946180114,0,7.69530358992252,1,0,2,1,4,1,"Gd",9,1,"TA","Attchd",2000,"RFn",3,836,"TA","TA","Y",5.25750058034755,4.43082870353436,0,0,0,-6.90775527898214,12,2008,"Normal",12.4292162008444,1,0,1,0,1,1,0,1,0,1,1,0,0
6,50,"RL",4.44266302112699,9.5549934115342,"IR1","Inside","Mitchel","Norm","1Fam","1.5Fin",5,5,1993,1995,"Gable","VinylSd","VinylSd","None",-6.90775527898214,"TA","TA","Wood","Gd","TA","No","GLQ",6.5957818800806,"Unf",0,64,6.679600442125,"GasA","Ex","Y","SBrkr",6.679600442125,6.33859584498607,0,7.21671022092358,1,0,1,1,1,1,"TA",5,0,"None","Attchd",1993,"Unf",2,480,"TA","TA","Y",3.68890445380144,3.40123071443995,0,0,0,6.55108176361381,10,2009,"Normal",11.8705999162351,1,1,1,0,1,1,0,1,0,1,1,0,0
7,20,"RL",4.31750144678076,9.2187053874748,"Reg","Inside","Somerst","Norm","1Fam","1Story",8,5,2004,2005,"Gable","VinylSd","VinylSd","Stone",5.22575205004283,"Gd","TA","PConc","Ex","TA","Av","GLQ",7.22183655574837,"Unf",0,317,7.43011473168144,"GasA","Ex","Y","SBrkr",7.4348484655306,-6.90775527898214,0,7.4348484655306,1,0,2,0,3,1,"Gd",7,1,"Gd","Attchd",2004,"RFn",2,636,"TA","TA","Y",5.54126746671936,4.04306881154031,0,0,0,-6.90775527898214,8,2007,"Normal",12.6346030298267,1,0,1,0,1,0,0,1,0,1,1,0,0
8,60,"RL",-6.90775527898214,9.24782891270772,"IR1","Corner","NWAmes","PosN","1Fam","2Story",7,6,1973,1973,"Gable","HdBoard","HdBoard","Stone",5.48064308999998,"TA","TA","CBlock","Gd","TA","Mn","ALQ",6.75577008612793,"BLQ",32,216,7.0094098360506,"GasA","Ex","Y","SBrkr",7.0094098360506,6.89061013744065,0,7.64491982342764,1,0,2,1,3,1,"TA",7,2,"TA","Attchd",1973,"RFn",2,484,"TA","TA","Y",5.45958976945425,5.31812489579299,228,0,0,5.85793601162224,11,2009,"Normal",12.2060726505302,1,1,1,1,1,1,0,0,0,1,1,1,0
9,50,"RM",3.93184524037523,8.71931753890505,"Reg","Inside","OldTown","Artery","1Fam","1.5Fin",7,5,1931,1950,"Gable","BrkFace","Wd Shng","None",-6.90775527898214,"TA","TA","BrkTil","TA","TA","No","Unf",-6.90775527898214,"Unf",0,952,6.85856608521098,"GasA","Gd","Y","FuseF",6.92951774923675,6.62273765373619,0,7.48099272656722,0,0,2,0,2,2,"TA",8,2,"TA","Detchd",1931,"Unf",2,468,"Fa","TA","Y",4.49982078137965,-6.90775527898214,205,0,0,-6.90775527898214,4,2008,"Abnorml",11.7745202103569,1,0,0,0,1,1,0,1,0,1,0,1,0
10,190,"RL",3.91204300522815,8.91193447093231,"Reg","Corner","BrkSide","Artery","2fmCon","1.5Unf",5,6,1939,1950,"Gable","MetalSd","MetalSd","None",-6.90775527898214,"TA","TA","BrkTil","TA","TA","No","GLQ",6.74641330366082,"Unf",0,140,6.89871554341121,"GasA","Ex","Y","SBrkr",6.98193560566106,-6.90775527898214,0,6.98193560566106,1,0,1,0,2,2,"TA",5,2,"TA","Attchd",1939,"RFn",1,205,"Gd","TA","Y",-6.90775527898214,1.3865443298751,0,0,0,-6.90775527898214,1,2008,"Normal",11.6784399119224,1,0,1,0,1,0,0,1,0,0,1,0,0
